filename,title,description,tags,niche
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_002_nobg.png,Kawaii Coding Dinosaur Sticker,"Adorable kawaii dinosaur coding! This cute chibi illustration is perfect for stickers, laptop designs, or any tech lover. Featuring pastel colors and bold outlines, this high-quality design is ideal for programmers and anyone who loves a touch of digital art.","coding, dinosaur, kawaii, sticker, cute, chibi, pastel, illustration, computer, programmer, digital art, graphic design, art, isolated, design",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_009_nobg.png,Cute Coding Coffee Girl,"This adorable kawaii illustration of a coding girl with coffee and glasses is perfect for any tech enthusiast! Featuring a bold, cartoon style and a clean white background, it's a great sticker or mug design for programmers and coffee lovers alike.  Show your love for coding with this charming graphic!","coding, programmer, coffee, kawaii, cartoon, illustration, laptop, glasses, cute, digital art, sticker, white background, graphic design, expressive eyes, programmer gift",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_001_nobg.png,Kawaii Penguin Coding Sticker,"This adorable kawaii penguin sticker is perfect for coding enthusiasts! Featuring a cute, big-headed design with a laptop, it’s a delightful way to express your love for programming and digital art.  Ideal for laptops, water bottles, and more!","penguin, coding, programmer, kawaii, cute, sticker, laptop, digital art, adorable, animal, graphic design, isolated, white background, vector art, character design",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_006_nobg.png,Kawaii Coding Owl Sticker,"Adorable kawaii illustration of a sleepy programmer owl! Perfect for laptop stickers and digital art, this chibi design features pastel colors and bold outlines for a cute and clean aesthetic. Ideal for coders and tech lovers!","coding, programmer, owl, kawaii, chibi, sticker, pastel, cute, illustration, digital art, sleepy, graphic design, isolated, vector art, sticker design",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_007_nobg.png,Cute Coding Bunny - Tech Startup,"This adorable bunny is ready to take on the tech world! Perfect for coding enthusiasts and tech startups, this kawaii illustration makes a fun and unique gift for any programmer.  Grab this cute bunny sticker or print for your tech workspace!","coding, bunny, kawaii, tech, startup, programmer, computer, cartoon, illustration, adorable, digital art, sticker, graphic design, bunny art, cute",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_005_nobg.png,Coding Coffee Cup Character,"Perfect for coding enthusiasts, this adorable cartoon coffee cup character enjoys their work at the laptop. This vibrant flat illustration is ideal for stickers, t-shirts, and other coding-related merchandise, showcasing a cute and memorable design.","coding, programmer, developer, coffee, cartoon, cute, laptop, illustration, flat design, sticker, digital art, isolated, character, vector, graphic design",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_008_nobg.png,Cute Coding Octopus - Sticker Design,"This adorable cartoon octopus is a coding enthusiast, juggling multiple laptops with a cute and expressive style. Perfect for programmers, tech lovers, and anyone who appreciates a funny and unique sticker design. Get your cute coding octopus today!","coding, octopus, programmer, cute, cartoon, illustration, laptop, multitasking, sticker, design, digital art, white background, vector, isolated, funny",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_010_nobg.png,Kawaii Coding Owl Sticker - Sleepy Programmer,"Adorable kawaii coding owl illustration perfect for stickers and laptop designs. This chibi style programmer owl, rendered in pastel colors with bold outlines, is a cute and quirky addition to any tech lover's collection.  Get your sticker today!","coding, programmer, owl, kawaii, sticker, chibi, pastel, cute, sleepy, illustration, digital art, graphic design, isolated, white background, vector art",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_003_nobg.png,Cute Sleepy Coding Owl Sticker,"This adorable sleepy owl illustration is perfect for any coding enthusiast! Featuring a cute, cartoon design with bold outlines and large expressive eyes, it's a fantastic sticker or graphic for laptops, water bottles, and more.  Get your 'coding owl' today!","coding, programmer, owl, cute, sleepy, cartoon, illustration, flat design, sticker, graphic design, digital art, owl sticker, programmer sticker, funny, isolated",coding
/home/bernardogv/projects/pod-designs/output/2026-02-14/coding/coding_004_nobg.png,Coding Cat - Cute Keyboard Sticker,"This adorable cartoon cat is the perfect gift for any coder or tech enthusiast! Featuring a cute, expressive design on a white background, this sticker is ideal for laptops, water bottles, and more.  Get your paws on this charming coding cat design today!","coding, cat, programmer, cute, sticker, keyboard, cartoon, illustration, digital art, funny, graphic design, isolated, white background, vector art, cat lover",coding
